name,rank,score,finsh_time
PurpleCrayon  ,1,18,0:10:03
Heltion  ,2,18,0:11:53
uwi  ,3,18,0:13:26
arignote  ,4,18,0:14:19
qqwqert007  ,5,18,0:14:21
wery0  ,6,18,0:14:48
tiger2005  ,7,18,0:14:50
DylanSmith  ,8,18,0:15:04
dbsic211  ,9,18,0:15:04
emthrm  ,10,18,0:15:34
nyu_ldf  ,11,18,0:15:39
lddlinan  ,12,18,0:15:48
justdoit2  ,13,18,0:15:49
prajwal_733  ,14,18,0:16:00
phungtienminh  ,15,18,0:16:30
JOHNKRAM  ,16,18,0:16:35
endlesscheng  ,17,18,0:16:52
hongrock  ,18,18,0:17:17
Tony_1234  ,19,18,0:17:18
Amarsanaa  ,20,18,0:17:21
vonat1us  ,21,18,0:17:31
chinakevin2023  ,22,18,0:18:15
CUNY-66brother  ,23,18,0:18:16
qingczha  ,24,18,0:18:33
qeetcode  ,25,18,0:18:39
