name,rank,score,finsh_time
fmota  ,1,18,0:08:15
PurpleCrayon  ,2,18,0:08:18
qeetcode  ,3,18,0:08:42
kmjp  ,4,18,0:09:07
Kevinxiehk  ,5,18,0:09:20
AntonRaichuk  ,6,18,0:09:49
kzyKT  ,7,18,0:10:46
nyu_ldf  ,8,18,0:10:57
hitonanode  ,9,18,0:10:58
Glukua  ,10,18,0:11:33
plasmatic  ,11,18,0:12:32
emthrm  ,12,18,0:12:48
scanhex  ,13,18,0:13:16
LayCurse  ,14,18,0:13:45
Yawn_Sean  ,15,18,0:13:47
winter_dragon  ,16,18,0:14:05
pjshwa  ,17,18,0:14:20
kaikaikaikaikai  ,18,18,0:15:21
usephysics  ,19,18,0:15:30
wery0  ,20,18,0:15:38
ccctttd  ,21,18,0:16:32
dreamoon  ,22,18,0:16:36
Kude  ,23,18,0:16:42
jonathanirvings  ,24,18,0:17:24
twitch_tv_qiqi_impact  ,25,18,0:17:36
