name,rank,score,finsh_time
AntonRaichuk  ,1,17,0:09:37
wjli  ,2,17,0:10:02
arignote  ,3,17,0:10:08
Liam66  ,4,17,0:10:54
nyu_ldf  ,5,17,0:11:04
tonyli0000  ,6,17,0:12:28
plevande  ,7,17,0:13:12
ctrlalt  ,8,17,0:13:25
Tlatoani  ,9,17,0:13:57
endlesscheng  ,10,17,0:13:58
SaveVMK  ,11,17,0:14:58
lucifer1007  ,12,17,0:15:08
emthrm  ,13,17,0:15:13
jonathanirvings  ,14,17,0:15:27
Ujimatsu_Chiya  ,15,17,0:15:32
liouzhou_101  ,16,17,0:15:33
JOHNKRAM  ,17,17,0:15:51
OTTFF  ,18,17,0:16:02
raincoat911  ,19,17,0:16:02
harttle  ,20,17,0:16:18
angela-cui  ,21,17,0:16:26
_-_-_-  ,22,17,0:16:40
Windazz  ,23,17,0:16:46
Heltion  ,24,17,0:17:03
aging  ,25,17,0:17:22
