name,rank,score,finsh_time
angela-cui  ,1,18,0:12:44
huah-f  ,2,18,0:13:31
natsugiri  ,3,18,0:13:54
vibrant-mayerhct  ,4,18,0:16:02
JOHNKRAM  ,5,18,0:16:26
981377660LMT  ,6,18,0:16:50
liouzhou_101  ,7,18,0:17:03
NK-  ,8,18,0:17:22
some_idiot  ,9,18,0:17:25
Kevinxiehk  ,10,18,0:17:31
physics0523  ,11,18,0:18:07
hayoung0_0  ,12,18,0:19:10
ji-gong  ,13,18,0:19:23
tsreaper  ,14,18,0:20:25
arignote  ,15,18,0:21:08
lee0560  ,16,18,0:21:51
koishi514  ,17,18,0:22:08
skyflaming  ,18,18,0:22:13
aaronyen  ,19,18,0:22:22
w285714  ,20,18,0:22:29
xuxiaohu  ,21,18,0:22:41
AntonRaichuk  ,22,18,0:22:41
dengyun  ,23,18,0:23:19
MaSmRWmKVn  ,24,18,0:23:26
0x3ff  ,25,18,0:23:39
