name,rank,score,finsh_time
LeetFuncker1  ,1,16,0:10:08
arignote  ,2,16,0:10:10
ethanrao  ,3,16,0:11:30
hayoung0_0  ,4,16,0:11:36
Aman_j1  ,5,16,0:11:56
scanhex  ,6,16,0:12:01
tsreaper  ,7,16,0:12:01
w285714  ,8,16,0:12:35
USYDLDH  ,9,16,0:13:18
cksp  ,10,16,0:13:54
AntonRaichuk  ,11,16,0:13:55
wjli  ,12,16,0:14:07
xi-jun-xiao-zi  ,13,16,0:15:21
JOHNKRAM  ,14,16,0:15:51
farmerboy  ,15,16,0:16:46
qingczha  ,16,16,0:16:50
aaronyen  ,17,16,0:16:54
stimsly  ,18,16,0:17:49
zanj0  ,19,16,0:18:04
milesian-c  ,20,16,0:18:07
tonghuikang  ,21,16,0:18:15
huanglanzhiguan  ,22,16,0:18:24
HobeXD  ,23,16,0:18:49
Chap_  ,24,16,0:18:59
singh_deopa  ,25,16,0:19:02
