name,rank,score,finsh_time
qeetcode  ,1,18,0:12:03
LayCurse  ,2,18,0:12:57
skywalkert  ,3,18,0:13:21
nyu_ldf  ,4,18,0:13:46
sheepforever  ,5,18,0:13:55
Yawn_Sean  ,6,18,0:14:09
JOHNKRAM  ,7,18,0:14:38
natsugiri  ,8,18,0:14:48
JeffreyLC  ,9,18,0:15:17
tian-tang-6  ,10,18,0:15:31
vibrant-mayerhct  ,11,18,0:15:38
penguinhacker  ,12,18,0:16:09
twitch_tv_qiqi_impact  ,13,18,0:16:27
AntonRaichuk  ,14,18,0:16:49
tsreaper  ,15,18,0:17:23
qingczha  ,16,18,0:17:52
kzyKT  ,17,18,0:18:29
pku_erutan  ,18,18,0:18:45
kmjp  ,19,18,0:18:59
arignote  ,20,18,0:19:09
oldyan  ,21,18,0:19:27
Kude  ,22,18,0:20:28
liouzhou_101  ,23,18,0:20:49
nicholask_17  ,24,18,0:21:36
Liam66  ,25,18,0:21:38
