name,rank,score,finsh_time
tian-tang-6  ,1,18,0:29:06
Heltion  ,2,18,0:29:25
arignote  ,3,18,0:33:07
jinmingli  ,4,18,0:33:40
aging  ,5,18,0:34:41
lichen-7i  ,6,18,0:35:36
pku_erutan  ,7,18,0:36:25
ASAPIN  ,8,18,0:37:32
hongrock  ,9,18,0:37:38
sdcgvhgj  ,10,18,0:41:23
di-shou  ,11,18,0:44:09
endlesscheng  ,12,18,0:45:32
nyu_ldf  ,13,18,0:46:36
kmjp  ,14,18,0:46:52
usephysics  ,15,18,0:47:08
qiye-5  ,16,18,0:47:43
zcgzcgzcg  ,17,18,0:47:50
taoz-kc  ,18,18,0:48:21
cuiwanyun  ,19,18,0:50:12
gooday-3  ,20,18,0:50:42
JOHNKRAM  ,21,18,0:50:55
tonghuikang  ,22,18,0:50:56
DylanSmith  ,23,18,0:52:08
megurine  ,24,18,0:52:22
kphmd  ,25,18,0:53:15
