name,rank,score,finsh_time
Heltion  ,1,18,0:16:56
Ujimatsu_Chiya  ,2,18,0:22:06
JOHNKRAM  ,3,18,0:22:55
natsugiri  ,4,18,0:25:05
some_idiot  ,5,18,0:26:30
PurpleCrayon  ,6,18,0:26:38
arignote  ,7,18,0:27:05
qingczha  ,8,18,0:28:38
0suoicsnocbus  ,9,18,0:30:16
wery0  ,10,18,0:30:50
AntonRaichuk  ,11,18,0:31:05
prajwal_733  ,12,18,0:31:36
superluminal  ,13,18,0:31:38
lucifer1006  ,14,18,0:31:57
sheepforever  ,15,18,0:32:30
huah-f  ,16,18,0:32:31
twitch_tv_qiqi_impact  ,17,18,0:32:54
lichen-7i  ,18,18,0:33:11
smartly  ,19,18,0:33:39
dacdodinh99  ,20,18,0:33:55
skywalkert  ,21,18,0:34:46
i_love_xiaoshagua_cpp  ,22,18,0:34:56
xuxiaohu  ,23,18,0:37:41
szp14  ,24,18,0:37:55
25ra0631  ,25,18,0:39:57
