title,author,length
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich (Expanded and Updated)",Timothy Ferriss, 13 hrs and 1 min
Outwitting the Devil,"Napoleon Hill,Sharon L. Lechter - editor", 5 hrs and 51 mins
Quantum Radio,A.G. Riddle, 14 hrs and 59 mins
The Woman in Cabin 10,Ruth Ware, 11 hrs and 16 mins
Poison Roses,"Tate James,Jaymin Eve", 8 hrs and 25 mins
The School for Good and Evil,Soman Chainani, 13 hrs and 45 mins
A Hacker's Mind,Bruce Schneier, 8 hrs and 3 mins
Things Hidden Since the Foundation of the World,René Girard, 21 hrs and 25 mins
All the Dangerous Things,Stacy Willingham, 10 hrs
A Clockwork Orange,Anthony Burgess, 7 hrs and 44 mins
Conversations with Friends,Sally Rooney, 8 hrs and 21 mins
El Hombre Mas Rico De Babilonia [The Richest Man in Babylon],George S. Clason, 5 hrs and 20 mins
Wielding an Hourglass,Hunter Blain, 9 hrs and 31 mins
Fire Prayers,John Ramirez, 6 hrs and 44 mins
Unfu*k Yourself,Gary John Bishop, 3 hrs and 24 mins
Girl in Pieces,Kathleen Glasgow, 10 hrs and 42 mins
The Penderwicks,Jeanne Birdsall, 6 hrs and 43 mins
Cannery Row,John Steinbeck, 5 hrs and 59 mins
The 5 Second Rule,Mel Robbins, 7 hrs and 35 mins
Built to Sell,John Warrillow, 4 hrs and 24 mins
I Don't Want to Talk About It,Terrence Real, 12 hrs and 28 mins
Three Widows,Patricia Gibney, 13 hrs and 45 mins
The Obesity Code,Dr. Jason Fung, 10 hrs and 9 mins
Ender's Game,Orson Scott Card, 11 hrs and 57 mins
The Millionaire Next Door,"Thomas J. Stanley Ph.D.,William D. Danko Ph.D.", 8 hrs and 16 mins
Dark Matter,Blake Crouch, 10 hrs and 8 mins
The Simple Path to Wealth,JL Collins, 6 hrs and 38 mins
Chase the Lion,Mark Batterson, 7 hrs and 19 mins
The Handmaid's Tale,Margaret Atwood, 11 hrs and 1 min
Outlive,"Peter Attia MD,Bill Gifford - contributor", 17 hrs and 7 mins
Twisted Secrets,Rachel Leigh, 8 hrs and 44 mins
The Seven Decision,Andy Andrews, 6 hrs and 30 mins
The Great Gatsby,F. Scott Fitzgerald, 4 hrs and 49 mins
The Total Money Makeover,Dave Ramsey, 3 hrs and 41 mins
The Power of One More,Ed Mylett, 5 hrs and 19 mins
Sinful Mafia Prince,"Ella Frank,Brooke Blaine", 6 hrs and 15 mins
The Girlfriend Arrangement,"Anna Stone,Hildred Billings", 7 hrs and 20 mins
Bow Before the Elf Queen,J.M. Kearl, 13 hrs and 57 mins
Twisted Love,Ana Huang, 10 hrs and 41 mins
Culture,Martin Puchner, 10 hrs and 33 mins
Building a StoryBrand,Donald Miller, 4 hrs and 56 mins
Leviathan Wakes,James S. A. Corey, 20 hrs and 56 mins
The Problem with Princesses,Macronomicon, 15 hrs and 53 mins
Drama Free,Nedra Glover Tawwab, 7 hrs and 36 mins
"Secular, Sacred, Spirit",Blake K. Healy, 3 hrs and 29 mins
Courage to Stand,Ginny Dye, 16 hrs and 6 mins
The Chat GPT Bible,Mike Jarman, 36 mins
RoomHate,Penelope Ward, 8 hrs and 13 mins
Star Wars Jedi: Battle Scars,Sam Maggs, 10 hrs and 28 mins
The Stranger in Our House,Sarah A. Denzil, 6 hrs and 33 mins
Ghastly Gadgets,Mildred Abbott, 7 hrs and 20 mins
BCBA Exam Study Prep Crash Course,Linda Cooper, 6 hrs and 14 mins
The Courage to Be Free,Ron DeSantis, 8 hrs and 59 mins
By Fate I Conquer,Cora Reilly, 12 hrs and 57 mins
