title,author,length
Uncharted,Inés Franklin, 8 hrs and 20 mins
Castle Town 4,Anya Merchant, 9 hrs and 49 mins
Entranced by the Basilisks,Lillian Lark, 10 hrs and 17 mins
Just a Touch Away,Jae, 11 hrs and 3 mins
First Comes Blood,Lilith Vincent, 8 hrs and 22 mins
Look What You've Done,"Tasha Layton,Bob Goff - foreword", 4 hrs
Both Feet in the Grave,Jeaniene Frost, 10 hrs and 5 mins
Bully King,Andi Jaxon, 9 hrs and 9 mins
Grandmaster Arcanist,Shami Stovall, 15 hrs and 13 mins
Lowcountry Getaway,Susan M. Boyer, 4 hrs and 46 mins
"Love, Honor, Betray",Mary Monroe, 10 hrs and 38 mins
Luciano,Eva Winners, 11 hrs and 15 mins
Bring Me Back,Kristen Granata, 7 hrs and 25 mins
Until I Saw You,Dianna Roman, 9 hrs and 18 mins
The 16 Undeniable Laws of Communication,John Maxwell, 8 hrs and 57 mins
Colonist Soldier,"Dan Raxor,Tyler Bowman", 23 hrs and 13 mins
Lyric,Grey Huffington, 10 hrs and 59 mins
A Game of Malice and Greed,"Caroline Peckham,Susanne Valenti", 25 hrs and 50 mins
Tested,Lindsay Buroker, 9 hrs and 53 mins
Sorcerer,Peter J. Lee, 12 hrs and 48 mins
Water Borne,Octavia Randolph, 15 hrs and 25 mins
The Love Stories of the Bible Speak,Shannon Bream, 7 hrs and 26 mins
The Slumber Party,Shannon Hollinger, 9 hrs and 40 mins
True Spirit,Jessica Watson, 8 hrs and 44 mins
Deep Hex,Nick Sullivan, 9 hrs and 51 mins
One for the Ages,JD Kirk, 11 hrs and 32 mins
(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide 9th Edition,"Mike Chapple,James Michael Stewart,Darril Gibson", 65 hrs and 38 mins
The Birdcage Murders,Karen Baugh Menuhin, 8 hrs and 55 mins
It's the Manager,"Jim Clifton,Jim Harter", 7 hrs and 37 mins
Urchin,Mark Goodwin, 8 hrs and 14 mins
The Complete Deathless Saga: Books 1-6 and the Prequel Novella,Chris Fox, 75 hrs and 35 mins
Unbroken: The Trauma Response Is Never Wrong,MaryCatherine McDonald PhD, 5 hrs and 32 mins
Dark Alliance Perfect Storm,I. T. Lucas, 8 hrs and 42 mins
Riptides,Blaine L. Pardoe, 13 hrs and 3 mins
Flack,Kris Michaels, 6 hrs and 5 mins
"Portal to Nova Roma: The Rhine, Book 3",J.R. Mathews, 25 hrs and 24 mins
A Soul of Ash and Blood,Jennifer L. Armentrout, 24 hrs
Isekai Cheat Appraiser,Sebastian Guzman, 8 hrs and 51 mins
Academy Arcanist,Shami Stovall, 12 hrs and 57 mins
Satan's Affair,H. D. Carlton, 5 hrs and 47 mins
Earth's First StarFighter,Han Yang, 14 hrs and 28 mins
The Secret Life of Sunflowers,"Marta Molnar,Dana Marton", 9 hrs and 52 mins
El destructor [The Destroyer],Pablo Hiriart, 10 hrs and 49 mins
Confronting Saddam Hussein,Melvyn P. Leffler, 11 hrs and 26 mins
Cheating Death,Dr. Rand McClain, 8 hrs and 1 min
The OCD Healing Journey,Mark DeJesus, 10 hrs and 52 mins
Nondual Love,A. H. Almaas, 6 hrs and 55 mins
Growing Up Psychic,Chip Coffey, 6 hrs and 12 mins
The Quinn Essentials for Women,Andrea Quinn, 5 hrs and 23 mins
Now You See Me,D.K. Hood, 7 hrs and 43 mins
Dance with Me,Georgia Beers, 9 hrs and 12 mins
Loving Whiskey,Brittanee Nicole, 12 hrs and 17 mins
An Extravagant Duplicity,Lynn Messina, 8 hrs and 52 mins
All the Time in the World,John Gierach, 6 hrs and 55 mins
Talisman Tails,Danielle Garrett, 5 hrs and 40 mins
Hail Mary,Kandi Steiner, 10 hrs and 38 mins
Dirty Truths,"Jaymin Eve,Tate James", 8 hrs and 35 mins
Feral Wolf,"Caroline Peckham,Susanne Valenti", 11 hrs and 34 mins
Only the Dead,Jack Carr, 15 hrs and 30 mins
Hunted by Fate,Shannon Mayer, 8 hrs and 8 mins
The Husband Hoax,Saxon James, 7 hrs and 23 mins
Ghost of the Truthseeker 1,Strungbound, 16 hrs and 30 mins
Into the Tide,Laura Pavlov, 9 hrs and 19 mins
Zodiac Aligned,Elizabeth Briggs, 8 hrs and 30 mins
Does It Hurt?,H. D. Carlton, 12 hrs and 7 mins
The Obstacle Is the Way,Ryan Holiday, 4 hrs and 38 mins
Change Your Brain Every Day,Daniel Amen, 15 hrs and 8 mins
"Solar Dragons Need Love, Too! 3",Virgil Knightley, 10 hrs and 4 mins
Ensnared,Tiffany Roberts, 11 hrs and 24 mins
Ruge o espera a ser devorado,Daniel Habif, 6 hrs and 20 mins
Camp Zero,Michelle Min Sterling, 11 hrs and 7 mins
Underspire,"Jason Anspach,Nick Cole,Walt Robillard", 11 hrs and 22 mins
Homecoming,Kate Morton, 17 hrs and 38 mins
The Surgeon,Leslie Wolfe, 10 hrs and 47 mins
